cardId,name,cardSet,type,rarity,mechanics_list,mechanics_count,playerClass,faction,cost,health,attack,collectible,race,artist,text,flavor,locale
CS2_037,Frost Shock,Basic,Spell,Free,Freeze,1,Shaman,Neutral,1,,,True,,Alex Horley Orlandelli,Deal $1 damage to an enemy character and <b>Freeze</b> it.,FROST SHOCK!,enUS
CS1_042,Goldshire Footman,Basic,Minion,Free,Taunt,1,Neutral,Alliance,1,2,1,True,,Donato Giancola,<b>Taunt</b>,"If 1/2 minions are all that is defending Goldshire, you would think it would have been overrun years ago.",enUS
EX1_508,Grimscale Oracle,Basic,Minion,Free,None,0,Neutral,Neutral,1,1,1,True,Murloc,Phil Saunders,Your other Murlocs have +1 Attack.,These are the brainy murlocs.  It turns out that doesnt mean much.,enUS
EX1_371,Hand of Protection,Basic,Spell,Free,Divine Shield,1,Paladin,Neutral,1,,,True,,Clint Langley,Give a minion <b>Divine Shield</b>.,"This spell has been renamed so many times, even paladins dont know what it should be called anymore.",enUS
BCON_012,Hand of Salvation,Basic,Spell,Free,Secret,1,Paladin,,1,,,,,,"<b>Secret:</b> When your second minion dies in a turn, return it to life.",,enUS
NEW1_009,Healing Totem,Basic,Minion,Free,None,0,Shaman,,1,2,0,,Totem,,"At the end of your turn, restore #1 Health to all friendly minions.",,enUS
CS1_130,Holy Smite,Basic,Spell,Free,None,0,Priest,Neutral,1,,,True,,Steve Ellis,Deal $2 damage.,It doesn't matter how pious you are.  Everyone needs a good smiting now and again.,enUS
EX1_360,Humility,Basic,Spell,Free,None,0,Paladin,Neutral,1,,,True,,Daren Bader,Change a minion's Attack to 1.,"This card makes something really damp.  Oh wait.  That's ""Humidity.""",enUS
CS2_091,Light's Justice,Basic,Weapon,Free,None,0,Paladin,Neutral,1,,1,True,,Glenn Rane,,Prince Malchezaar was a collector of rare weapons. He'd animate them and have them dance for him.,enUS
EX1_025t,Mechanical Dragonling,Basic,Minion,Common,None,0,Neutral,Neutral,1,1,2,,Mech,,,,enUS
CS2_003,Mind Vision,Basic,Spell,Free,None,0,Priest,Neutral,1,,,True,,Michael Komarck,Put a copy of a random card in your opponent's hand into your hand.,I see what you did there.,enUS
CS2_027,Mirror Image,Basic,Spell,Free,Taunt,1,Mage,Neutral,1,,,True,,Jim Nelson,Summon two 0/2 minions with <b>Taunt</b>.,Oh hey it's Mirror Image! !egamI rorriM s'ti yeh hO,enUS
EX1_302,Mortal Coil,Basic,Spell,Free,None,0,Warlock,Neutral,1,,,True,,Matt Gaser,"Deal $1 damage to a minion. If that kills it, draw a card.","If your spells look like horrifying skulls, let's be honest, you should get to draw some cards.",enUS
CS2_168,Murloc Raider,Basic,Minion,Free,None,0,Neutral,Alliance,1,1,2,True,Murloc,Dan Scott,,"Mrrraggglhlhghghlgh, mrgaaag blarrghlgaahahl mrgggg glhalhah a bghhll graggmgmg Garrosh mglhlhlh mrghlhlhl!!",enUS
EX1_506a,Murloc Scout,Basic,Minion,Common,None,0,Neutral,Neutral,1,1,1,,Murloc,,,,enUS
CS2_235,Northshire Cleric,Basic,Minion,Free,None,0,Priest,,1,3,1,True,,Terese Nielsen,"Whenever a minion is healed, draw a card.",They help the downtrodden and distressed.  Also they sell cookies.,enUS
CS2_004,Power Word: Shield,Basic,Spell,Free,None,0,Priest,Neutral,1,,,True,,Jessica Jung,Give a minion +2_Health.\nDraw a card.,"Sure the extra protection is nice, but the shield really reduces visibility.",enUS
CS2_050,Searing Totem,Basic,Minion,Free,None,0,Shaman,Neutral,1,1,1,,Totem,,,,enUS
CS2_tk1,Sheep,Basic,Minion,Common,None,0,Neutral,Neutral,1,1,1,,Beast,,,,enUS
CS2_101t,Silver Hand Recruit,Basic,Minion,Free,None,0,Paladin,,1,1,1,,,,,,enUS
CS2_075,Sinister Strike,Basic,Spell,Free,None,0,Rogue,Neutral,1,,,True,,Frank Cho,Deal $3 damage to the_enemy hero.,"There's something about this strike that just feels off.  Sinister, even.",enUS
skele11,Skeleton,Basic,Minion,Common,None,0,Neutral,Neutral,1,1,1,,,,<b></b>,,enUS
BCON_016,Smoke Bomb,Basic,Spell,Free,None,0,Rogue,,1,,,,,,Give a minion <b>Stealth</b> until your next turn. Draw a card.,,enUS
EX1_308,Soulfire,Basic,Spell,Free,None,0,Warlock,Neutral,1,,,True,,Raymond Swanland,[x]Deal $4 damage.\nDiscard a random card.,Are you lighting a soul on fire? Or burning someone with your OWN soul? This seems like an important distinction.,enUS
CS2_051,Stoneclaw Totem,Basic,Minion,Free,Taunt,1,Shaman,Neutral,1,2,0,,Totem,,<b>Taunt</b>,,enUS
CS2_171,Stonetusk Boar,Basic,Minion,Free,Charge,1,Neutral,Neutral,1,1,1,True,Beast,Howard Lyon,<b>Charge</b>,This card is boaring.,enUS
DS1_175,Timber Wolf,Basic,Minion,Free,Aura,1,Hunter,Neutral,1,1,1,True,Beast,Malcolm Davis,Your other Beasts have +1_Attack.,Other beasts totally dig hanging out with timber wolves.,enUS
DS1_184,Tracking,Basic,Spell,Free,None,0,Hunter,Neutral,1,,,True,,Mauro Cascioli,Look at the top 3 cards of your deck. Draw one and discard the_others.,For the person who just cannot decide what card to put into a deck!,enUS
CS2_065,Voidwalker,Basic,Minion,Free,Taunt,1,Warlock,Neutral,1,3,1,True,Demon,Alex Horley Orlandelli,<b>Taunt</b>,"No relation to ""The Voidsteppers"", the popular Void-based dance troupe.",enUS
EX1_011,Voodoo Doctor,Basic,Minion,Free,Battlecry,1,Neutral,Horde,1,1,2,True,,Karl Richardson,<b>Battlecry:</b> Restore #2_Health.,Voodoo is an oft-misunderstood art. But it <i>is</i> art.,enUS
EX1_400,Whirlwind,Basic,Spell,Free,None,0,Warrior,Neutral,1,,,True,,Jonboy Meyers,Deal $1 damage to ALL_minions.,"The way to tell seasoned warriors from novice ones: the novices yell ""wheeeee"" while whirlwinding.",enUS
CS2_082,Wicked Knife,Basic,Weapon,Free,None,0,Rogue,Neutral,1,,1,,,,,,enUS
CS2_052,Wrath of Air Totem,Basic,Minion,Free,Spell Damage,1,Shaman,Neutral,1,2,0,,Totem,,<b>Spell Damage +1</b>,,enUS
EX1_066,Acidic Swamp Ooze,Basic,Minion,Free,Battlecry,1,Neutral,Alliance,2,2,3,True,,Chris Rahn,<b>Battlecry:</b> Destroy your opponent's weapon.,Oozes love Flamenco.  Don't ask.,enUS
CS2_025,Arcane Explosion,Basic,Spell,Free,None,0,Mage,Neutral,2,,,True,,Howard Lyon,Deal $1 damage to all enemy minions.,This spell is much better than Arcane Implosion.,enUS
CS2_102,Armor Up!,Basic,Hero Power,Free,None,0,Warrior,Neutral,2,,,,,,<b>Hero Power</b>\nGain 2 Armor.,,enUS
CS2_172,Bloodfen Raptor,Basic,Minion,Free,None,0,Neutral,Horde,2,2,3,True,Beast,Dan Brereton,,"""Kill 30 raptors."" - Hemet Nesingwary",enUS
CS2_173,Bluegill Warrior,Basic,Minion,Free,Charge,1,Neutral,Neutral,2,1,2,True,Murloc,Jakub Kasper,<b>Charge</b>,He just wants a hug.   A sloppy... slimy... hug.,enUS
CS2_114,Cleave,Basic,Spell,Free,None,0,Warrior,Neutral,2,,,True,,Phroilan Gardner,[x]Deal $2 damage to\ntwo random enemy\nminions.,Hey you two...could you stand next to each other for a second...,enUS
CS2_083b,Dagger Mastery,Basic,Hero Power,Free,None,0,Rogue,Neutral,2,,,,,,<b>Hero Power</b>\nEquip a 1/2 Dagger.,,enUS
BCON_001,Deadeye,Basic,Spell,Free,None,0,Hunter,,2,,,,,,"For the rest of the game,\nyour Hero Power can target minions.",,enUS
CS2_236,Divine Spirit,Basic,Spell,Free,None,0,Priest,,2,,,True,,Jim Pavelec,Double a minion's Health.,Double the trouble. Double the fun!,enUS
CS2_108,Execute,Basic,Spell,Free,None,0,Warrior,Neutral,2,,,True,,Dany Orizio,Destroy a damaged enemy minion.,"It's okay, he deserved it.",enUS
CS2_034,Fireblast,Basic,Hero Power,Free,None,0,Mage,Neutral,2,,,,,,<b>Hero Power</b>\nDeal $1 damage.,,enUS
CS2_024,Frostbolt,Basic,Spell,Free,Freeze,1,Mage,Neutral,2,,,True,,Steve Ellis,Deal $3 damage to a_character and <b>Freeze</b> it.,"It is customary to yell ""Chill out!"" or ""Freeze!"" or ""Ice ice, baby!"" when you play this card.",enUS
CS2_121,Frostwolf Grunt,Basic,Minion,Free,Taunt,1,Neutral,Neutral,2,2,2,True,,Richie Marella,<b>Taunt</b>,Grunting is what his father did and his father before that.   It's more than just a job.,enUS
BCON_015,Generous Spirit,Basic,Spell,Free,None,0,Priest,,2,,,,,,[x]Choose a friendly minion.\nGive it to your opponent\nand draw 3 cards.,,enUS
CS2_105,Heroic Strike,Basic,Spell,Free,None,0,Warrior,Neutral,2,,,True,,Jonboy Meyers,Give your hero +4_Attack this turn.,"Really, if you're a hero, this is <i>every</i> strike.",enUS
CS2_089,Holy Light,Basic,Spell,Free,None,0,Paladin,Neutral,2,,,True,,Zoltan & Gabor,Restore #6 Health.,"If you are often bathed in Holy Light, you should consider wearing sunscreen.",enUS
CS2_084,Hunter's Mark,Basic,Spell,Free,None,0,Hunter,Neutral,2,,,True,,Jimmy Lo,Change a minion's Health to 1.,Never play 'Hide and Go Seek' with a Hunter.,enUS
CS2_142,Kobold Geomancer,Basic,Minion,Free,Spell Damage,1,Neutral,Horde,2,2,2,True,,Gabor Szikszai,<b>Spell Damage +1</b>,"In the old days, Kobolds were the finest candle merchants in the land. Then they got pushed too far...",enUS
CS1h_001,Lesser Heal,Basic,Hero Power,Free,None,0,Priest,Neutral,2,,,,,,<b>Hero Power</b>\nRestore #2 Health.,,enUS
CS2_056,Life Tap,Basic,Hero Power,Free,None,0,Warlock,Neutral,2,,,,,,<b>Hero Power</b>\nDraw a card and take $2_damage.,,enUS
CS2_009,Mark of the Wild,Basic,Spell,Free,Taunt,1,Druid,Neutral,2,,,True,,Brad Vancata,Give a minion <b>Taunt</b> and +2/+2.<i>\n(+2 Attack/+2 Health)</i>,Not to be confused with Jim of the Wild.,enUS
DS1_233,Mind Blast,Basic,Spell,Free,None,0,Priest,Neutral,2,,,True,,Dave Allsop,Deal $5 damage to the enemy hero.,This spell blasts you directly in the MIND.,enUS
EX1_506,Murloc Tidehunter,Basic,Minion,Free,Battlecry,1,Neutral,Neutral,2,1,2,True,Murloc,Dan Scott,<b>Battlecry:</b> Summon a 1/1_Murloc Scout.,"""Death will rise, from the tides!""",enUS
GAME_006,NOOOOOOOOOOOO,Basic,Spell,,None,0,Neutral,,2,,,,,,"Somehow, the card you USED to have has been deleted.  Here, have this one instead!",Even your flavor text has been deleted. Dang.,enUS
EX1_015,Novice Engineer,Basic,Minion,Free,Battlecry,1,Neutral,Alliance,2,1,1,True,,Karl Richardson,<b>Battlecry:</b> Draw a card.,"""Half of this class will not graduate... since they'll have been turned to chickens."" - Tinkmaster Overspark, teaching Gizmos 101.",enUS
CS2_101,Reinforce,Basic,Hero Power,Free,None,0,Paladin,Neutral,2,,,,,,<b>Hero Power</b>\nSummon a 1/1 Silver Hand Recruit.,,enUS
CS2_120,River Crocolisk,Basic,Minion,Free,None,0,Neutral,,2,3,2,True,Beast,Daren Bader,,"Edward ""Lefty"" Smith tried to make luggage out of a river crocolisk once.",enUS
CS2_045,Rockbiter Weapon,Basic,Spell,Free,None,0,Shaman,Neutral,2,,,True,,Alex Horley Orlandelli,Give a friendly character +3 Attack this turn.,This would be real handy if your enemy is made of rock.,enUS
EX1_581,Sap,Basic,Spell,Free,None,0,Rogue,Neutral,2,,,True,,Scott Altmann,Return an enemy minion to your opponent's hand.,Rogues love sappy movies.,enUS
CS2_234,Shadow Word: Pain,Basic,Spell,Free,None,0,Priest,,2,,,True,,Raymond Swanland,Destroy a minion with 3_or less Attack.,"A step up from a spell cast by many beginning acolytes: ""Shadow Word: Annoy"".",enUS
CS2_017,Shapeshift,Basic,Hero Power,Free,None,0,Druid,Neutral,2,,,,,,<b>Hero Power</b>\n+1 Attack this turn.\n+1 Armor.,,enUS
EX1_278,Shiv,Basic,Spell,Free,None,0,Rogue,Neutral,2,,,True,,Alex Garner,Deal $1 damage.\nDraw a card.,Rogues are experts at SHIV-al-ry.,enUS
DS1h_292,Steady Shot,Basic,Hero Power,Free,None,0,Hunter,Neutral,2,,,,,,<b>Hero Power</b>\nDeal $2 damage to the enemy hero.@<b>Hero Power</b>\nDeal $2 damage.,,enUS
EX1_306,Succubus,Basic,Minion,Free,Battlecry,1,Warlock,Neutral,2,3,4,True,Demon,Matt Dixon,<b>Battlecry:</b> Discard a random card.,Warlocks have it pretty good.,enUS
CS2_049,Totemic Call,Basic,Hero Power,Free,None,0,Shaman,Neutral,2,,,,,,<b>Hero Power</b>\nSummon a random Totem.,,enUS
CS2_039,Windfury,Basic,Spell,Free,Windfury,1,Shaman,Neutral,2,,,True,,Justin Sweet,Give a minion <b>Windfury</b>.,"Windfury is like Earthfury and Firefury, but more light and airy.",enUS
NEW1_031,Animal Companion,Basic,Spell,Free,None,0,Hunter,,3,,,True,,Wei Wang,Summon a random Beast Companion.,"You could summon Misha, Leokk, or Huffer!  Huffer is more trouble than he's worth.",enUS
CS2_023,Arcane Intellect,Basic,Spell,Free,None,0,Mage,Neutral,3,,,True,,Dave Berggren,Draw 2 cards.,Playing this card makes you SMARTER.  And let's face it: we could all stand to be a little smarter.,enUS
BCON_026,Blazing Longsword,Basic,Weapon,Free,None,0,Warrior,,3,,2,,,,Also damages minions next to whomever your hero attacks.,,enUS
EX1_582,Dalaran Mage,Basic,Minion,Free,Spell Damage,1,Neutral,Neutral,3,4,1,True,,Jim Nelson,<b>Spell Damage +1</b>,You don't see a lot of Dalaran warriors.,enUS
CS2_061,Drain Life,Basic,Spell,Free,None,0,Warlock,Neutral,3,,,True,,Alex Horley Orlandelli,Deal $2 damage. Restore #2 Health to your hero.,"""I've just sucked one year of your life away.""",enUS
EX1_129,Fan of Knives,Basic,Spell,Free,None,0,Rogue,Neutral,3,,,True,,Andrew Robinson,Deal $1 damage to all enemy minions. Draw_a card.,"I wouldn't say I LOVE knives, but I'm definitely a fan.",enUS
CS2_106,Fiery War Axe,Basic,Weapon,Free,None,0,Warrior,Neutral,3,,3,True,,Lucas Graciano,,"During times of tranquility and harmony, this weapon was called by its less popular name, Chilly Peace Axe.",enUS
EX1_565,Flametongue Totem,Basic,Minion,Free,AdjacentBuff#Aura,2,Shaman,Neutral,3,3,0,True,Totem,Jonathan Ryder,Adjacent minions have +2_Attack.,Totemsmiths like to use the rarest woods for their totems.  There are even rumors of totems made of Ironbark Protectors.,enUS
CS2_026,Frost Nova,Basic,Spell,Free,Freeze,1,Mage,Neutral,3,,,True,,Josh Tallman,<b>Freeze</b> all enemy minions.,"Hey man, that's cold.  Literally and metaphorically.",enUS
CS2_007,Healing Touch,Basic,Spell,Free,None,0,Druid,Neutral,3,,,True,,Cyril Van Der Haegen,Restore #8 Health.,"8 Health, no waiting.",enUS
NEW1_034,Huffer,Basic,Minion,Common,Charge,1,Hunter,,3,2,4,,Beast,,<b>Charge</b>,,enUS
CS2_141,Ironforge Rifleman,Basic,Minion,Free,Battlecry,1,Neutral,Alliance,3,2,2,True,,Tooth,<b>Battlecry:</b> Deal 1 damage.,"""Ready! Aim! Drink!""",enUS
CS2_125,Ironfur Grizzly,Basic,Minion,Free,Taunt,1,Neutral,Neutral,3,3,3,True,Beast,Lars Grant-West,<b>Taunt</b>,"""Bear Carcass 1/10""",enUS
EX1_539,Kill Command,Basic,Spell,Free,None,0,Hunter,Neutral,3,,,True,,Gabe from Penny Arcade,"Deal $3 damage. If you control a Beast, deal\n$5 damage instead.","""Kill!"", he commanded.",enUS
NEW1_033,Leokk,Basic,Minion,Common,Aura,1,Hunter,,3,4,2,,Beast,,Your other minions have +1 Attack.,,enUS
